
# This file includes 3 curves
3
P   15
3.14286    3.68571
-0.6    9.4
-2.2    0.571427
-4.68572    0.314284
-2.25714    10.1714
-5.8    9.2
-10.3714    7.37143
-17.8    -1.25714
-8.54286    -6.6
2.97143    -12.2571
-3.82857    -5.94286
-5.37143    -1.28572
0.885713    -1.74286
-1.22857    -11.3143
3.62857    -1.65715
P    3
3.14286    3.68571
-0.0857147    0.771426
3.62857    -1.65715
P    6
-2.17143    5.11429
-2    7.62857
-0.514285    6.94286
1.57143    10.4571
0.457144    5.54286
-2.17143    5.05714
